project,symbol,name,market,price,currency,source,quote_time,fetch_time,market_status,is_stale,stale_reason
energy,00883.HK,中海油H,HK,26.760000228881836,HKD,yfinance,2026-05-18 16:08:00+08:00,2026-05-18 11:47:27.911595+00:00,closed,False,市场已收盘；价格为收盘前/最后更新时间参考，不适合盘中做T判断
energy,601899.SH,紫金矿业A,CN,31.299999237060547,CNY,yfinance,2026-05-18 14:57:00+08:00,2026-05-18 11:47:31.157648+00:00,closed,False,市场已收盘；价格为收盘前/最后更新时间参考，不适合盘中做T判断
energy,601985.SH,中国核电,CN,9.050000190734863,CNY,yfinance,2026-05-18 14:56:00+08:00,2026-05-18 11:47:31.921974+00:00,closed,False,市场已收盘；价格为收盘前/最后更新时间参考，不适合盘中做T判断
energy,003816.SZ,中国广核,CN,4.800000190734863,CNY,yfinance,2026-05-18 14:59:00+08:00,2026-05-18 11:47:32.701517+00:00,closed,False,市场已收盘；价格为收盘前/最后更新时间参考，不适合盘中做T判断
