project,symbol,name,market,price,currency,source,quote_time,fetch_time,market_status,is_stale,stale_reason
tech,159632.SZ,纳斯达克ETF华安,CN,2.283,CNY,akshare,2026-05-18 15:34:03+08:00,2026-05-18 11:47:51.824851+00:00,closed,False,市场已收盘；价格为收盘前/最后更新时间参考，不适合盘中做T判断
tech,513300.SH,纳斯达克ETF华夏,CN,2.5,CNY,akshare,2026-05-18 16:11:53+08:00,2026-05-18 11:48:19.768786+00:00,closed,False,市场已收盘；价格为收盘前/最后更新时间参考，不适合盘中做T判断
tech,159819.SZ,人工智能ETF易方达,CN,1.96,CNY,akshare,2026-05-18 15:34:21+08:00,2026-05-18 11:48:47.319571+00:00,closed,False,市场已收盘；价格为收盘前/最后更新时间参考，不适合盘中做T判断
tech,515880.SH,通信ETF国泰,CN,1.517,CNY,akshare,2026-05-18 16:11:34+08:00,2026-05-18 11:49:14.228684+00:00,closed,False,市场已收盘；价格为收盘前/最后更新时间参考，不适合盘中做T判断
tech,510300.SH,沪深300ETF华泰柏瑞,CN,4.852,CNY,akshare,2026-05-18 16:11:48+08:00,2026-05-18 11:49:40.778024+00:00,closed,False,市场已收盘；价格为收盘前/最后更新时间参考，不适合盘中做T判断
tech,GOLD_CNY,黄金持仓参考价,MANUAL,1040.0,CNY,manual,2026-05-18 14:03:00+08:00,2026-05-18 11:50:09.220446+00:00,manual,False,manual 价格，已显示录入时间
